Date;Heures;Type de réserve;Sens de l'ajustement;Quantité de la réserve (en MW);Prix des offres activées (en euros/MWh)
06/12/2016;14:00 - 14:30;Réserve rapide;A la hausse;0;0
06/12/2016;14:00 - 14:30;Réserve rapide;A la baisse;539;62,1
06/12/2016;14:00 - 14:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;14:00 - 14:30;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;14:30 - 15:00;Réserve primaire;A la hausse;0;66,1
06/12/2016;14:30 - 15:00;Réserve primaire;A la baisse;5;66,1
06/12/2016;14:30 - 15:00;Réserve secondaire;A la hausse;36;66,1
06/12/2016;14:30 - 15:00;Réserve secondaire;A la baisse;0;66,1
06/12/2016;14:30 - 15:00;Réserve rapide;A la hausse;0;0
06/12/2016;14:30 - 15:00;Réserve rapide;A la baisse;150;54,9
06/12/2016;14:30 - 15:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;14:30 - 15:00;Réserve complémentaire;A la baisse;0;71,6
06/12/2016;15:00 - 15:30;Réserve primaire;A la hausse;5;66,9
06/12/2016;15:00 - 15:30;Réserve primaire;A la baisse;0;66,9
06/12/2016;15:00 - 15:30;Réserve secondaire;A la hausse;262;66,9
06/12/2016;15:00 - 15:30;Réserve secondaire;A la baisse;0;66,9
06/12/2016;15:00 - 15:30;Réserve rapide;A la hausse;0;0
06/12/2016;15:00 - 15:30;Réserve rapide;A la baisse;210;56,8
06/12/2016;15:00 - 15:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;15:00 - 15:30;Réserve complémentaire;A la baisse;213;63,2
06/12/2016;15:30 - 16:00;Réserve primaire;A la hausse;14;66,9
06/12/2016;15:30 - 16:00;Réserve primaire;A la baisse;0;66,9
06/12/2016;15:30 - 16:00;Réserve secondaire;A la hausse;281;66,9
06/12/2016;15:30 - 16:00;Réserve secondaire;A la baisse;0;66,9
06/12/2016;15:30 - 16:00;Réserve rapide;A la hausse;0;0
06/12/2016;15:30 - 16:00;Réserve rapide;A la baisse;210;56,8
06/12/2016;15:30 - 16:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;15:30 - 16:00;Réserve complémentaire;A la baisse;213;63,2
06/12/2016;16:00 - 16:30;Réserve primaire;A la hausse;0;73
06/12/2016;16:00 - 16:30;Réserve primaire;A la baisse;4;73
06/12/2016;16:00 - 16:30;Réserve secondaire;A la hausse;86;73
